Time (ms),Trajectory Position 1 (mm),Measured Position 1 (mm),Trajectory Position 2 (mm),Measured Position 2 (mm),Trajectory Position 3 (mm),Measured Position 3 (mm)
5640.0,117.97803906249995,117.97655078124994,122.95633984374994,122.94889843749993,120.75517187499995,120.76757421874994
5650.0,118.02764843749993,118.02417578124994,123.00644531249993,123.00247656249994,120.70556249999993,120.71647656249993
5660.0,118.07775390624994,118.07527343749993,123.05605468749992,123.05357421874993,120.65545703124994,120.66587499999994
5670.0,118.12785937499993,118.12289843749994,123.09971093749994,123.09474999999993,120.60535156249993,120.61527343749994
5680.0,118.17796484374995,118.17647656249994,123.13344531249993,123.12947656249993,120.55524609374994,120.56417578124993
5690.0,118.22807031249994,118.22410156249994,123.15725781249994,123.15527343749993,120.50514062499994,120.51655078124993
5700.0,118.27767968749994,118.27519921874993,123.17114843749994,123.16767578124993,120.45553124999994,120.46594921874994
5710.0,118.32778515624993,118.32580078124994,123.17511718749994,123.17412499999995,120.40542578124993,120.41832421874994
5720.0,118.37789062499994,118.37342578124995,123.17511718749994,123.17412499999995,120.35532031249994,120.36722656249994
5730.0,118.42799609374993,118.42749999999994,123.17511718749994,123.17412499999995,120.30521484374994,120.31662499999995
5740.0,118.47810156249994,118.47512499999995,123.17511718749994,123.17412499999995,120.25510937499993,120.26899999999993
5750.0,118.52771093749993,118.52572656249993,123.17511718749994,123.17412499999995,120.20549999999994,120.21492578124995
5760.0,118.57781640624994,118.57335156249994,123.17511718749994,123.17412499999995,120.15539453124993,120.16730078124995
5770.0,118.62792187499994,118.62444921874994,123.17511718749994,123.17412499999995,120.10528906249993,120.11669921874994
5780.0,118.67802734374993,118.67505078124995,123.17511718749994,123.17412499999995,120.05518359374993,120.06907421874993
5790.0,118.72763671874993,118.72267578124993,123.17511718749994,123.17412499999995,120.00557421874994,120.01797656249994
5800.0,118.77774218749994,118.77377343749994,123.17511718749994,123.17412499999995,119.95546874999994,119.96737499999993
5810.0,118.82784765624994,118.82139843749994,123.17511718749994,123.17412499999995,119.90536328124995,119.91974999999994
5820.0,118.87795312499993,118.87497656249994,123.17511718749994,123.17412499999995,119.85525781249993,119.86567578124995
5830.0,118.92805859374994,118.92260156249993,123.17511718749994,123.17412499999995,119.80515234374994,119.81805078124994
5840.0,118.97766796874994,118.97369921874994,123.17511718749994,123.17412499999995,119.75554296874994,119.76744921874993
5850.0,119.02777343749995,119.02430078124993,123.17511718749994,123.17412499999995,119.70543749999995,119.71982421874993
5860.0,119.07787890624994,119.07192578124993,123.17511718749994,123.17412499999995,119.65533203124994,119.66872656249994
5870.0,119.12798437499994,119.12599999999993,123.17511718749994,123.17412499999995,119.60522656249995,119.61812499999994
5880.0,119.17808984374993,119.17362499999993,123.17511718749994,123.17412499999995,119.55512109374993,119.57049999999994
5890.0,119.22769921874995,119.22422656249994,123.17511718749994,123.17412499999995,119.50551171874994,119.51642578124994
5900.0,119.27780468749994,119.27185156249993,123.17511718749994,123.17412499999995,119.45540624999994,119.46880078124994
5910.0,119.32791015624994,119.32294921874993,123.17511718749994,123.17412499999995,119.40530078124993,119.41819921874993
5920.0,119.37801562499995,119.37355078124993,123.17511718749994,123.17412499999995,119.35519531249994,119.37057421874994
5930.0,119.42812109374994,119.42117578124994,123.17511718749994,123.17412499999995,119.30508984374994,119.31947656249994
5940.0,119.47773046874993,119.47524999999993,123.17511718749994,123.17412499999995,119.25548046874994,119.26887499999994
5950.0,119.52783593749994,119.52287499999993,123.17511718749994,123.17412499999995,119.20537499999993,119.22124999999993
5960.0,119.57794140624995,119.57347656249993,123.17511718749994,123.17412499999995,119.15526953124994,119.16717578124994
5970.0,119.62804687499994,119.62457421874993,123.17511718749994,123.17412499999995,119.10516406249994,119.12302343749994
5980.0,119.67765624999994,119.67219921874994,123.17511718749994,123.17412499999995,119.05555468749994,119.06894921874994
5990.0,119.72776171874993,119.72280078124994,123.17511718749994,123.17412499999995,119.00544921874993,119.02132421874994
6000.0,119.77786718749994,119.77042578124994,123.17511718749994,123.17412499999995,118.95534374999994,118.97022656249993
6010.0,119.82797265624994,119.82449999999993,123.17511718749994,123.17412499999995,118.90523828124994,118.91962499999993
6020.0,119.87807812499994,119.87212499999994,123.17511718749994,123.17412499999995,118.85513281249995,118.87199999999994
6030.0,119.92768749999993,119.92272656249995,123.17511718749994,123.17412499999995,118.80552343749993,118.82139843749994
6040.0,119.97779296874994,119.97382421874994,123.17511718749994,123.17412499999995,118.75541796874994,118.77030078124993
6050.0,120.02789843749993,120.02144921874994,123.17511718749994,123.17412499999995,118.70531249999993,118.71969921874994
6060.0,120.07800390624993,120.07552343749994,123.17511718749994,123.17412499999995,118.65520703124993,118.67207421874994
6070.0,120.12810937499994,120.12314843749994,123.17511718749994,123.17412499999995,118.60510156249994,118.62097656249993
6080.0,120.17771874999994,120.17374999999994,123.17511718749994,123.17412499999995,118.55549218749995,118.57037499999994
6090.0,120.22782421874993,120.22137499999994,123.17511718749994,123.17412499999995,118.50538671874993,118.52274999999995
6100.0,120.27792968749993,120.27197656249994,123.17511718749994,123.17412499999995,118.45528124999993,118.47214843749994
6110.0,120.32803515624994,120.32307421874994,123.17511718749994,123.17412499999995,118.40517578124994,118.42452343749994
6120.0,120.37764453124994,120.37367578124994,123.17511718749994,123.17412499999995,118.35556640624993,118.37342578124995
6130.0,120.42774999999993,120.42477343749994,123.17511718749994,123.17412499999995,118.30546093749994,118.32282421874994
6140.0,120.47785546874994,120.47239843749993,123.17511718749994,123.17412499999995,118.25535546874994,118.27519921874993
6150.0,120.52796093749994,120.52299999999994,123.17511718749994,123.17412499999995,118.20524999999994,118.22112499999994
6160.0,120.57806640624993,120.57360156249993,123.17511718749994,123.17412499999995,118.15514453124993,118.17349999999995
6170.0,120.62767578124995,120.62469921874994,123.17511718749994,123.17412499999995,118.10553515624994,118.12289843749994
6180.0,120.67778124999994,120.67530078124994,123.17511718749994,123.17412499999995,118.05542968749994,118.07527343749993
6190.0,120.72788671874994,120.72292578124994,123.17511718749994,123.17412499999995,118.00532421874995,118.02417578124994
6200.0,120.77799218749993,120.77699999999994,123.17511718749994,123.17412499999995,117.95521874999994,117.97357421874993
6210.0,120.82809765624994,120.82462499999994,123.17511718749994,123.17412499999995,117.90511328124994,117.92594921874993
6220.0,120.87770703124994,120.87522656249993,123.17511718749994,123.17412499999995,117.85550390624994,117.87187499999995
6230.0,120.92781249999994,120.92285156249993,123.17511718749994,123.17412499999995,117.80539843749995,117.82424999999994
6240.0,120.97791796874994,120.97394921874994,123.17511718749994,123.17412499999995,117.75529296874994,117.77364843749993
6250.0,121.02802343749994,121.02455078124993,123.17511718749994,123.17412499999995,117.70518749999994,117.72602343749993
6260.0,121.07763281249993,121.07217578124994,123.17511718749994,123.17412499999995,117.65557812499993,117.67492578124994
6270.0,121.12773828124993,121.12624999999994,123.17511718749994,123.17412499999995,117.60547265624994,117.62432421874993
6280.0,121.17784374999994,121.17387499999992,123.17511718749994,123.17412499999995,117.55536718749994,117.57669921874994
6290.0,121.22794921874994,121.22447656249993,123.17511718749994,123.17412499999995,117.50526171874994,117.52262499999993
6300.0,121.27805468749995,121.27557421874994,123.17511718749994,123.17412499999995,117.45515624999994,117.47499999999994
6310.0,121.32766406249993,121.32319921874993,123.17511718749994,123.17412499999995,117.40554687499993,117.42439843749993
6320.0,121.37776953124994,121.37380078124994,123.17511718749994,123.17412499999995,117.35544140624994,117.37330078124994
6330.0,121.42787499999993,121.42489843749995,123.17511718749994,123.17412499999995,117.30533593749993,117.32269921874993
6340.0,121.47798046874995,121.47549999999993,123.17511718749994,123.17412499999995,117.25523046874994,117.27160156249994
6350.0,121.52808593749994,121.52312499999994,123.17511718749994,123.17412499999995,117.20512499999994,117.22397656249994
6360.0,121.57769531249994,121.57372656249994,123.17511718749994,123.17412499999995,117.15551562499994,117.17039843749994
6370.0,121.62780078124993,121.62482421874994,123.17511718749994,123.17412499999995,117.10541015624993,117.12277343749994
6380.0,121.67790624999994,121.67542578124994,123.17511718749994,123.17412499999995,117.05530468749994,117.07167578124994
6390.0,121.72801171874993,121.72652343749994,123.17511718749994,123.17412499999995,117.00519921874994,117.02405078124994
6400.0,121.77811718749994,121.77414843749993,123.17511718749994,123.17412499999995,116.95509374999993,116.97344921874995
6410.0,121.82772656249993,121.82772656249993,123.17511718749994,123.17412499999995,116.90548437499994,116.91937499999993
6420.0,121.87783203124994,121.87237499999993,123.17511718749994,123.17412499999995,116.85537890624994,116.87174999999993
6430.0,121.92793749999993,121.92644921874994,123.17511718749994,123.17412499999995,116.80527343749993,116.82114843749994
6440.0,121.97804296874993,121.97705078124994,123.17511718749994,123.17412499999995,116.75516796874993,116.77352343749995
6450.0,122.02765234374993,122.02467578124994,123.17511718749994,123.17412499999995,116.70555859374994,116.72242578124994
6460.0,122.07775781249994,122.07577343749993,123.17511718749994,123.17412499999995,116.65545312499994,116.67182421874995
6470.0,122.12786328124994,122.12339843749993,123.17511718749994,123.17412499999995,116.60534765624995,116.62072656249994
6480.0,122.17796874999993,122.17697656249995,123.17511718749994,123.17412499999995,116.55524218749994,116.57012499999995
6490.0,122.22807421874994,122.22460156249994,123.17511718749994,123.17412499999995,116.50513671874994,116.52249999999995
6500.0,122.27768359374994,122.27569921874993,123.17511718749994,123.17412499999995,116.45552734374994,116.46842578124993
6510.0,122.32778906249995,122.32630078124994,123.17511718749994,123.17412499999995,116.40542187499994,116.42080078124994
6520.0,122.37789453124994,122.37392578124994,123.17511718749994,123.17412499999995,116.35531640624994,116.37019921874995
6530.0,122.42799999999994,122.42799999999994,123.17511718749994,123.17412499999995,116.30521093749995,116.31910156249994
6540.0,122.47810546874993,122.47562499999994,123.17511718749994,123.17412499999995,116.25510546874995,116.26849999999995
6550.0,122.52771484374995,122.52622656249994,123.17511718749994,123.17412499999995,116.20549609374994,116.21789843749994
6560.0,122.57782031249994,122.57385156249994,123.17511718749994,123.17412499999995,116.15539062499994,116.17027343749994
6570.0,122.62792578124994,122.62494921874993,123.17511718749994,123.17412499999995,116.10528515624995,116.11619921874994
6580.0,122.67803124999993,122.67555078124994,123.17511718749994,123.17412499999995,116.05517968749994,116.06857421874994
6590.0,122.72764062499994,122.72317578124994,123.17511718749994,123.17412499999995,116.00557031249994,116.01747656249995
6600.0,122.77774609374993,122.77724999999994,123.17511718749994,123.17412499999995,115.95546484374994,115.96687499999994
6610.0,122.82785156249994,122.82487499999993,123.17511718749994,123.17412499999995,115.90535937499993,115.91924999999995
6620.0,122.87795703124995,122.87547656249993,123.17511718749994,123.17412499999995,115.85525390624994,115.86517578124995
6630.0,122.92806249999994,122.92657421874993,123.17511718749994,123.17412499999995,115.80514843749994,115.81755078124995
6640.0,122.97767187499993,122.97419921874994,123.17511718749994,123.17412499999995,115.75553906249993,115.76694921874994
6650.0,123.02777734374993,123.02480078124992,123.17511718749994,123.17412499999995,115.70543359374993,115.71585156249995
6660.0,123.07788281249994,123.07589843749994,123.17511718749994,123.17412499999995,115.65532812499994,115.66524999999994
6670.0,123.12798828124994,123.12649999999994,123.17511718749994,123.17412499999995,115.60522265624994,115.61762499999995
6680.0,123.17809374999995,123.17412499999995,123.17511718749994,123.17412499999995,115.55511718749995,115.56702343749994
6690.0,123.22770312499993,123.22819921874994,123.17511718749994,123.17412499999995,115.50550781249994,115.51592578124995
6700.0,123.27780859374994,123.27582421874995,123.17511718749994,123.17412499999995,115.45540234374994,115.46830078124994
6710.0,123.32791406249993,123.32642578124992,123.17511718749994,123.17412499999995,115.41224218749994,115.42067578124994
6720.0,123.37801953124993,123.37752343749995,123.17511718749994,123.17412499999995,115.37949999999994,115.38892578124994
6730.0,123.42812499999992,123.42514843749994,123.17511718749994,123.17412499999995,115.35618359374993,115.36362499999994
6740.0,123.47773437499994,123.47574999999993,123.17511718749994,123.17412499999995,115.34328515624993,115.35072656249993
6750.0,123.52783984374993,123.52337499999993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6760.0,123.57794531249993,123.57744921874995,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6770.0,123.62805078124993,123.62507421874993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6780.0,123.67766015624994,123.67567578124994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6790.0,123.72776562499993,123.72677343749994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6800.0,123.77787109374994,123.77439843749994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6810.0,123.82797656249994,123.82797656249994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6820.0,123.87808203124993,123.87560156249994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6830.0,123.92769140624993,123.92669921874993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6840.0,123.97779687499994,123.97432421874993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6850.0,124.02790234374994,124.02492578124993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6860.0,124.07800781249993,124.07602343749993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6870.0,124.12811328124994,124.12364843749994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6880.0,124.17772265624993,124.17722656249994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6890.0,124.22782812499995,124.22485156249994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6900.0,124.27793359374994,124.27594921874993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6910.0,124.32803906249994,124.32655078124994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6920.0,124.37764843749993,124.37417578124993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6930.0,124.42775390624993,124.42527343749994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6940.0,124.47785937499992,124.47289843749994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6950.0,124.52796484374994,124.52647656249994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6960.0,124.57807031249995,124.57410156249995,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6970.0,124.62767968749993,124.62519921874994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6980.0,124.67778515624993,124.67580078124993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
6990.0,124.72789062499993,124.72342578124994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7000.0,124.77799609374993,124.77749999999993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7010.0,124.82810156249994,124.82512499999994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7020.0,124.87771093749994,124.87572656249993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7030.0,124.92781640624993,124.92335156249993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7040.0,124.97792187499994,124.97444921874994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7050.0,125.02802734374993,125.02505078124993,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7060.0,125.07763671874994,125.07267578124994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7070.0,125.12774218749995,125.12377343749995,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7080.0,125.17784765624992,125.17139843749995,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7090.0,125.22795312499993,125.22497656249992,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7100.0,125.27805859374993,125.27260156249994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7110.0,125.32766796874995,125.32369921874995,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7120.0,125.37777343749993,125.37430078124994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7130.0,125.42787890624993,125.42192578124994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7140.0,125.47798437499993,125.47599999999994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
7150.0,125.52808984374994,125.52362499999994,123.17511718749994,123.17412499999995,115.33981249999995,115.34774999999995
